title,author,publisher,pubyear,isbn,issn,location,bibctrlno,detail_url,type,keyword1,keyword2,keyword3,keywords,year
100-kWe-class Supercritical Organic Rankine Cycle Turbine with Magnetic Bearing for Waste Heat Power Generation System,임형수;최범석;박무룡;황순찬;박준영;서정민;방제성;김수원;임영철;박세진;정희찬;이동현;김병옥,대한기계학회;대한기계학회,2024.12.01,,,[],121102,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=121102&se=rt&ty=B,연구논문,,,,,2024.0
"2,000℃에서 사용 가능한 효율 40%의 열기관",박중호,대한기계학회(KSME);대한기계학회(KSME),2023.08.01,,,[],120213,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120213&se=rt&ty=B,연구논문,,,,,2023.0
2022년 압축기 분야 연구동향,서정민,한국유체기계학회(KSFM);한국유체기계학회(KSFM),2023.04.01,,,[],114443,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=114443&se=rt&ty=B,연구논문,,,,,2023.0
2023_Opt. Mater._Large scale fabrication of GaN nanorods tempate and characterization of MOCVD grown InGaN/GaN quantum wells on {10-10} plane of GaN nanorods,Mandar A. Kulkarni;Hyesu Ryu;최학종;Ameer Abdullah;Hamza Thaalbi;Fawad Tariq;Sang Hyun Lee;임형준;Sang-Wan Ryu,Elsevier BV;Elsevier BV,2023.11.01,,,[],120365,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120365&se=rt&ty=B,연구논문,,,,,2023.0
2035년의 대한기계학회 바이오공학부문,임현의,대한기계학회;대한기계학회,2024.04.25,,,[],121228,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=121228&se=rt&ty=B,연구논문,,,,,2024.0
257 nm Deep UV Femtosecond Laser Ablation with Minimized Crack and Chipping on Display Ultra？Thin Glass,조광우;최준하;고창덕;김무현;이주한;엄은향;조성학,한국정밀공학회(Korean Society for Precision Engineering);한국정밀공학회(Korean Society for Precision Engineering),2023.12.14,,,[],120506,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120506&se=rt&ty=B,연구논문,,,,,2023.0
2D 영상과 깊이 정보를 이용한 의수로봇의 물체 파지 동작 제어Control of Grasping Object for Robotic Prosthetic Hand using 2D Images and Depth,박해준;안보현;주수빈;서준호,한국정밀공학회(KSPE);한국정밀공학회(KSPE),2023.05.12,,,[],120646,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120646&se=rt&ty=B,연구논문,,,,,2023.0
2 L급 수소 직접분사 전기점화 엔진의 워밍업 시 공기과잉률에 따른 질소산화물 배출 및 연료 소모율에 대한 실험적 분석Effect of Varying Excessive Air Ratios on Nitrogen Oxides and Fuel Consumption Rate during Warm-up in a 2-L Hydrogen Direct Injection Spark Ignition Engine,하준;김용래;박철웅;최영;이정우,한국가스학회(KIGAS);한국가스학회(KIGAS),2023.10.16,,,[],120302,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120302&se=rt&ty=B,연구논문,,,,,2023.0
2차원 등각 원심형 임펠러에 대한 미끄럼 계수Expression of Slip Factor for Two-dimensional Radial Impeller with Equiangular Blades,유일수,한국유체기계학회(KSFM);한국유체기계학회(KSFM),2023.04.03,,,[],120069,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120069&se=rt&ty=B,연구논문,,,,,2023.0
300℃급 고온 히트펌프 시스템의 사이클 성능 해석 연구A Study on the Cycle Performance Analysis of a 300℃ High Temperature Heat Pump System,정융;김학수;김동호;이공훈;송찬호,대한설비공학회(SAREK);대한설비공학회(SAREK),2023.06.22,,,[],120140,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120140&se=rt&ty=B,연구논문,,,,,2023.0
300℃급 고온 히트펌프용 열교환기 설계기술 개발Design of Heat Exchangers for Developing High Temperature (300 ℃) Heat Pump,김진섭;이공훈;손상호;신동환;김우경;송찬호,대한설비공학회(SAREK);대한설비공학회(SAREK),2023.06.22,,,[],120141,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120141&se=rt&ty=B,연구논문,,,,,2023.0
300도 이상의 고온에 노출된 시멘트 복합재료의 열특성Experimental study on the thermal properties of cementitious composites exposed to high temperature exceeding 300℃,양인환;정승태;김성곤;송찬호,대한설비공학회(SAREK);대한설비공학회(SAREK),2023.06.22,,,[],120177,http://https://library.kimm.re.kr/search/catalog/view.do?bibctrlno=120177&se=rt&ty=B,연구논문,,,,,2023.0
